aggregated	self	category	text
94.64%	0.00%	1	br	Are you saying to use {D like } {F um } for chocolate {D like } unsweetened
94.64%	0.00%	1	ba	I can see that would be {F uh } easy
94.65%	0.00%	1	ba	<Lipsmack> {F Oh } my
94.65%	0.00%	1	bk	{D Well } that's okay
94.65%	0.00%	1	ba	{F Oh } {D well } that's not bad
94.65%	0.00%	1	bf	That's large if your kids aren't at home any more
94.65%	0.00%	1	ba	-- jeez
94.66%	0.00%	1	bf	Common problem
94.66%	0.00%	1	ba	-- that's neat
94.66%	0.00%	1	bf	-- {C because } they need to have a little bit of the -
94.66%	0.00%	1	b^m	-- yeah
94.67%	0.00%	1	b	<Swallowing> Yeah
94.67%	0.00%	1	b^m	Two and two
94.67%	0.00%	1	ba	that's awful  {D well }
94.67%	0.00%	1	bf	He knew what he didn't want -- -
94.67%	0.00%	1	b^m	{C But }  {F um } right
94.68%	0.00%	1	bf	{F Oh } it's still just a pup
94.68%	0.00%	1	b	</Children> Uh-huh
94.68%	0.00%	1	ba	bang
94.68%	0.00%	1	ba	That's the way it  goes <lipsmack>
94.68%	0.00%	1	bh	{F Oh } it wasn't?
94.69%	0.00%	1	b^m	The union
94.69%	0.00%	1	br	Mean [ [ the + the ] + the ] management they get rid of?
94.69%	0.00%	1	ba	{C so }  that's interesting
94.69%	0.00%	1	ba	{D Well } that's unusual
94.69%	0.00%	1	ba	[ [ [ That's + that's ] + that's ] + <dishes> that's ] very good
94.70%	0.00%	1	ba	That's a great way
94.70%	0.00%	1	bf	{C So } there has been some flooding
94.70%	0.00%	1	bf	You are not beating rugs
94.70%	0.00%	1	b	Really {D you know }
94.71%	0.00%	1	ba	{F Oh } wonderful!
94.71%	0.00%	1	bf	{F Oh } {C and } you just kind of  took them over {F huh }
94.71%	0.00%	1	bf	Against your will
94.71%	0.00%	1	ba	That's scary
94.71%	0.00%	1	b	{F Oh } boy
94.72%	0.00%	1	ba	That's not -
94.72%	0.00%	1	bf	You've got the little bitty ones
94.72%	0.00%	1	bf	it doesn't sound real necessary in Texas
94.72%	0.00%	1	bf	traumatized for life here
94.72%	0.00%	1	b	Laurie all right <beep>
94.73%	0.00%	1	b	{C And so } Okay
94.73%	0.00%	1	b^m	uh-huh
94.73%	0.00%	1	b	Yeah  apparently
94.73%	0.00%	1	ba	Certainly
94.73%	0.00%	1	ba	You got a buy
94.74%	0.00%	1	bf	Relax
94.74%	0.00%	1	b	-- I mean
94.74%	0.00%	1	bf	{D Well } {C so } it was a completely  new experience for you
94.74%	0.00%	1	bf	That we are because it's so expensive
94.75%	0.00%	1	ba	{F Oh } good for you
94.75%	0.00%	1	ba	That's really great
94.75%	0.00%	1	ba	Real good idea
94.75%	0.00%	1	b^m	The yellow
94.75%	0.00%	1	bf	Hoping that they do go to a Honda  dealership to get them serviced
94.76%	0.00%	1	b	right <<faint>>
94.76%	0.00%	1	br	<Noise> Huh?
94.76%	0.00%	1	bf	just the form
94.76%	0.00%	1	ba	{C but } my goodness
94.76%	0.00%	1	b	yeah {D Well }
94.77%	0.00%	1	b	In biographies
94.77%	0.00%	1	ba	{F Oh } that's a shame
94.77%	0.00%	1	ba	{F Oh } yeah {F oh }
94.77%	0.00%	1	ba	{F Oh } that'll be good
94.77%	0.00%	1	b^m	Problem
94.78%	0.00%	1	bf	{F oh } the state doesn't require it
94.78%	0.00%	1	ba	That's  a good point
94.78%	0.00%	1	bf	{F Oh } {D my } [ how + how ]  long?
94.78%	0.00%	1	bf	{D So } you like [ a + a ] variety
94.79%	0.00%	1	bf	As tight as you can
94.79%	0.00%	1	bh	{F Oh }
94.79%	0.00%	1	ba	{D well } great
94.79%	0.00%	1	ba	Wow  that's great
94.79%	0.00%	1	ba	Oh my God
94.80%	0.00%	1	b	<Laughter>  {F Um } yes
94.80%	0.00%	1	bk	You are
94.80%	0.00%	1	ba	{D Well } that's wonderful [ if + if ] you can make it that way
94.80%	0.00%	1	b	Yeah <<pause>> <noise>
94.80%	0.00%	1	ba	{F Oh } gosh  <baby>
94.81%	0.00%	1	ba	That's rather interesting
94.81%	0.00%	1	bf	Surprising
94.81%	0.00%	1	bf	{C So } they're {D you know }  ((   )) -
94.81%	0.00%	1	ba	That's not too bad
94.81%	0.00%	1	ba	{F Oh } {D my } you are busy --
94.82%	0.00%	1	bf	survival becomes more of a priority [ than + than ] education
94.82%	0.00%	1	bh	Is it {F uh }
94.82%	0.00%	1	bf	That makes it very frustrating
94.82%	0.00%	1	b	{F A- } {F oh } I see
94.83%	0.00%	1	ba	[ [ I + I could see ] + you could see ] why
94.83%	0.00%	1	bk	T I I see
94.83%	0.00%	1	bk	Okay <child_crying>
94.83%	0.00%	1	bf	Continuance -
94.83%	0.00%	1	b^m	SILVERADO
94.84%	0.00%	1	bf	{C So } it's really up north in the country really   ((   ))
94.84%	0.00%	1	bf	Somebody that doesn't really put a lot of overhead whatever into it
94.84%	0.00%	1	b^m	Two and one
94.84%	0.00%	1	bf	Skip this tournament <laughter>
94.84%	0.00%	1	ba	{F Um } that sounds good
94.85%	0.00%	1	b	Right </music> <noise>
94.85%	0.00%	1	ba	{D Well } well that's great
94.85%	0.00%	1	bf	have something to rebel against <laughter> -
94.85%	0.00%	1	ba	Sure it is
94.85%	0.00%	1	ba	that's a good deal
94.86%	0.00%	1	ba	{F Oh } boy <thumping>
94.86%	0.00%	1	br	How do you get the edge?
94.86%	0.00%	1	ba	{F Oh } that's great --
94.86%	0.00%	1	ba	That's an idea <laughter>
94.87%	0.00%	1	bk	Oh <throat_clearing>
94.87%	0.00%	1	bf	because it's so big
94.87%	0.00%	1	b^m	Save that for another day
94.87%	0.00%	1	b^m	Two dogs
94.87%	0.00%	1	b	{F Oh } all right
94.88%	0.00%	1	br	That's just what on their part
94.88%	0.00%	1	ba	{D Well } very good
94.88%	0.00%	1	ba	{D Oh }  That is good
94.88%	0.00%	1	ba	<Laughter>  {F Oh } wow
94.88%	0.00%	1	ba	{D Well } that's real neat
94.89%	0.00%	1	bk	{F Uh } oh
94.89%	0.00%	1	b	Right {D you know }
94.89%	0.00%	1	br	Because it's what?
94.89%	0.00%	1	ba	((   ))  {D Well } that's great
94.89%	0.00%	1	ba	That is kind of wild
94.90%	0.00%	1	b	<Laughter> No
94.90%	0.00%	1	ba	<Laughter> That's sweet
94.90%	0.00%	1	ba	{F Um } gosh
94.90%	0.00%	1	ba	{D like } good grief
94.91%	0.00%	1	ba	{D Well } that's it {D you know }
94.91%	0.00%	1	ba	That's a lot of work
94.91%	0.00%	1	ba	Eventually right
94.91%	0.00%	1	b	that's great
94.91%	0.00%	1	bh	Do they
94.92%	0.00%	1	ba	Oh well that's good
94.92%	0.00%	1	bf	Wouldn't take it apart after that
94.92%	0.00%	1	ba	[ I can + I can ] relate to that
94.92%	0.00%	1	b^m	{F Um }
94.92%	0.00%	1	ba	<Laughter> Cute
94.93%	0.00%	1	b^m	THELMA AND LOUISE
94.93%	0.00%	1	ba	I bet <laughter> <baby_crying>
94.93%	0.00%	1	ba	[ [   It + it ] + it ] is very strange
94.93%	0.00%	1	b^m	(( BATTLE CRY OF FREEDOM ))
94.93%	0.00%	1	ba	{D you know } [ that's + that's ] good
94.94%	0.00%	1	ba	<laughter> I can -
94.94%	0.00%	1	bf	Clarion
94.94%	0.00%	1	b	<Noise> {F Huh }  Uh-huh
94.94%	0.00%	1	b^m	{F Oh } hybrid teas
94.95%	0.00%	1	ba	{F Aye } {F aye } {F aye } <laughter>
94.95%	0.00%	1	b^m	You never know
94.95%	0.00%	1	bf	{C And } given that the S and Ls have had disasters then [ those account holders [ are + are ] + their money is ] still being protected
94.95%	0.00%	1	b^m	A KISS BEFORE DYING
94.95%	0.00%	1	b	<Noise> Yes
94.96%	0.00%	1	b	{D Oh } really
94.96%	0.00%	1	bf	The economy is lousy <laughter>
94.96%	0.00%	1	bf	{D Well } that's kind of like quilting
94.96%	0.00%	1	ba	Good Lord
94.96%	0.00%	1	ba	{F Oh } how pretty
94.97%	0.00%	1	ba	{F oh } no
94.97%	0.00%	1	b	-- Yeah
94.97%	0.00%	1	bf	You can  come and go
94.97%	0.00%	1	b	Uh-huh  {F uh }
94.97%	0.00%	1	b	Yeah <thumping>
94.98%	0.00%	1	b^m	in high school
94.98%	0.00%	1	bh	With cash?
94.98%	0.00%	1	b	{C So }  {F uh } yeah
94.98%	0.00%	1	b^m	Home school
94.99%	0.00%	1	ba	{D Well } I'm sure you probably are
94.99%	0.00%	1	bh	Okay?
94.99%	0.00%	1	b	righ- -
94.99%	0.00%	1	bh	{F Oh } how about that?
94.99%	0.00%	1	bf	{F uh }   a stump killer
95.00%	0.00%	1	ba	{F Huh } that's terrible
95.00%	0.00%	1	ba	(( That's interesting
95.00%	0.00%	1	ba	Oh go- -
95.00%	0.00%	1	b	Uh-huh <thumping>
95.00%	0.00%	1	b	[ Ye- + uh-huh ]
95.01%	0.00%	1	bf	Maybe supply some arms or something
95.01%	0.00%	1	b	<laughter>  Really
95.01%	0.00%	1	ba	{D Oh } no <laughter>
95.01%	0.00%	1	ba	{F Oh } {D well } great
95.01%	0.00%	1	ba	That's a smart idea
95.02%	0.00%	1	ba	That sounds nice
95.02%	0.00%	1	b	Yeah (( {F uh } ))
95.02%	0.00%	1	b	{F Oh } the potato
95.02%	0.00%	1	b	{F Huh  }
95.03%	0.00%	1	b^m	twenty thousand
95.03%	0.00%	1	b	in their own community
95.03%	0.00%	1	ba	{F Oh } how sweet
95.03%	0.00%	1	ba	<Laughter>  Oh gosh
95.03%	0.00%	1	ba	{D Well } I understand that <laughter> {D you know }   ((   ))
95.04%	0.00%	1	bf	They charged you twenty-five dollars just to tell you that {F huh }
95.04%	0.00%	1	ba	Holy cow!
95.04%	0.00%	1	bf	They are tough
95.04%	0.00%	1	ba	{D Well } that's nice in a lot of ways
95.04%	0.00%	1	b	yeah <<Clears throat>>
95.05%	0.00%	1	bk	{F Oh } Garland Texas
95.05%	0.00%	1	ba	{F Oh } that's so neat
95.05%	0.00%	1	b	{D well } yeah
95.05%	0.00%	1	b	That's how it is
95.05%	0.00%	1	b	(( All right ))
95.06%	0.00%	1	br	You mean the prisons?
95.06%	0.00%	1	b	{F Oh }  ((   ))  yeah
95.06%	0.00%	1	ba	That's really nice
95.06%	0.00%	1	b^m	Sweating [ with the + to the  ] oldies  / *[[title]
95.07%	0.00%	1	b^m	A CLEAR AND PRESENT DANGER
95.07%	0.00%	1	b^m	Mysteries
95.07%	0.00%	1	ba	{C So } [ that's + that's ] really neat
95.07%	0.00%	1	bf	[ Trickles + trickles ] up and down
95.07%	0.00%	1	ba	That sounds amazing
95.08%	0.00%	1	b	Yeah </child_talking>
95.08%	0.00%	1	b^m	<Laughter>  Warm
95.08%	0.00%	1	ba	It really sounds like it was fun
95.08%	0.00%	1	b	-- Hopkins
95.08%	0.00%	1	bf	{C And } [ you get + you get ]  a little more carried away with it
95.09%	0.00%	1	bf	[ {C And } + {F uh } {C then } ] like you said a lot of -
95.09%	0.00%	1	b	Uh oh <laughter>
95.09%	0.00%	1	b	Oh <pounding>
95.09%	0.00%	1	b	Uh-huh <noise> <<hammering>>
95.10%	0.00%	1	bf	They think it's okay thing to do
95.10%	0.00%	1	b	<Breathing> <laughter> Oh
95.10%	0.00%	1	ba	that's exactly it
95.10%	0.00%	1	ba	{F Uh } that's great
95.10%	0.00%	1	b	<Sniffing> All right
95.11%	0.00%	1	b^m	{E I mean } yeah
95.11%	0.00%	1	bk	Yes  --
95.11%	0.00%	1	b^m	{F Oh } a sheltie
95.11%	0.00%	1	bf	[ {C So } +  {C so } ] they can  get {D like } the Doors and Led Zepplin
95.11%	0.00%	1	bf	I good toe hold
95.12%	0.00%	1	bf	You kind of hate to -
95.12%	0.00%	1	b	Ye-
95.12%	0.00%	1	ba	that's a good one
95.12%	0.00%	1	bf	You've just retired
95.12%	0.00%	1	bf	it wasn't so he- -
95.13%	0.00%	1	bf	{C and
95.13%	0.00%	1	b^m	<<Very faint>> Uh-huh
95.13%	0.00%	1	b^m	{C And } the Rangers go up a  little bit
95.13%	0.00%	1	bf	In environmental engineering {F uh } -
95.14%	0.00%	1	bf	[ I- + it ] worked out good
95.14%	0.00%	1	b^m	In my area -
95.14%	0.00%	1	ba	{F Oh } {D well } of course
95.14%	0.00%	1	bf	{C so } then you had to
95.14%	0.00%	1	ba	sounds interesting
95.15%	0.00%	1	ba	{D Well } that was good
95.15%	0.00%	1	bf	Easiest way out maybe
95.15%	0.00%	1	ba	Oh no  <laughter>
95.15%	0.00%	1	ba	Now that's good
95.15%	0.00%	1	b	Oh! <Noise> <<Sounds like a cat>>
95.16%	0.00%	1	b^m	-- {F uh } the big one
95.16%	0.00%	1	ba	I [ unders- + understand ] though
95.16%	0.00%	1	ba	{F Oh } that sounds fantastic
95.16%	0.00%	1	bf	<Laughter> It's one of those slippery  attorneys coming in here
95.16%	0.00%	1	ba	[  That's pretty + that's a good ] size deck
95.17%	0.00%	1	b	<Laughter> {C So } {F uh } yeah
95.17%	0.00%	1	ba	{F Oh } how exiting
95.17%	0.00%	1	b	{F Oh } right <noise>
95.17%	0.00%	1	ba	{D Well } gosh
95.18%	0.00%	1	br	Do I have pets?
95.18%	0.00%	1	b^m	Texas Aqua- -
95.18%	0.00%	1	bf	They think it's fun
95.18%	0.00%	1	ba	That's pretty close
95.18%	0.00%	1	b	{D  You know   }
95.19%	0.00%	1	b	{D Well } [  ye- + yeah ]
95.19%	0.00%	1	ba	{F Oh } wow  that's impressive
95.19%	0.00%	1	ba	{F Um }  How weird
95.19%	0.00%	1	ba	{F Oh }  (( jeez ))
95.19%	0.00%	1	ba	{D Boy } I bet
95.20%	0.00%	1	b	{C And }  -
95.20%	0.00%	1	ba	{F Uh } {F uh } that's for sure
95.20%	0.00%	1	bh	Has it?
95.20%	0.00%	1	bf	He is gone
95.20%	0.00%	1	ba	That's really wild
95.21%	0.00%	1	b^m	Bonus
95.21%	0.00%	1	ba	[ [ E-
95.21%	0.00%	1	bd	<Laughter> That's okay
95.21%	0.00%	1	b^m	Fourth birthday
95.22%	0.00%	1	ba	--  that's  great
95.22%	0.00%	1	ba	{E I mean }  give me a break
95.22%	0.00%	1	br	beyond murder or just beyond {D like } first degree murder?
95.22%	0.00%	1	b	{D Well } really
95.22%	0.00%	1	bf	[  They just + they just ] announced that didn't they?
95.23%	0.00%	1	b	Okay <<very faint>>
95.23%	0.00%	1	bf	[ Is + is ] that the same way as with the aluminum cans <noise> where you go
95.23%	0.00%	1	ba	that's important -
95.23%	0.00%	1	b^m	Pink
95.23%	0.00%	1	bf	It's easy
95.24%	0.00%	1	bh	How about that?
95.24%	0.00%	1	b^m	How do I make use of credit cards?
95.24%	0.00%	1	ba	Wouldn't that be great
95.24%	0.00%	1	b^m	Just bought one
95.24%	0.00%	1	ba	That's sorry
95.25%	0.00%	1	bf	Just change our p- -
95.25%	0.00%	1	ba	{D Well } the floor was uneven
95.25%	0.00%	1	b	(( {F Oh } ))
95.25%	0.00%	1	ba	I can believe that <laughter>
95.26%	0.00%	1	b	Cuddle up uh-huh
95.26%	0.00%	1	ba	{F Oh } that sounds delicious
95.26%	0.00%	1	ba	{C But } {F uh } gee
95.26%	0.00%	1	bf	It sounds like you might too
95.26%	0.00%	1	b	You -
95.27%	0.00%	1	b^m	{C Or } something
95.27%	0.00%	1	ba	{F Oh } that's even better
95.27%	0.00%	1	bf	{C Because } [ they + ] of course if you did not have them you would be pulling from your salary of course
95.27%	0.00%	1	ba	Ah
95.27%	0.00%	1	ba	I guess I missed that one
95.28%	0.00%	1	b	<Throat_clearing> {D So }  yeah
95.28%	0.00%	1	bf	You mean you don't need to wear little old house dresses any more?
95.28%	0.00%	1	bd	Yeah
95.28%	0.00%	1	bf	That's when they
95.28%	0.00%	1	b	Oh ((   )) ?
95.29%	0.00%	1	bf	just be consistent and diligent -
95.29%	0.00%	1	ba	{C But } I agree with you that it's just  I call it dumping <laughter>
95.29%	0.00%	1	ba	{F Oh }  man
95.29%	0.00%	1	ba	{F Oh } that is fun
95.30%	0.00%	1	ba	{F Oh } wow {F uh }
95.30%	0.00%	1	ba	That's so good
95.30%	0.00%	1	b	{F oh } uh-huh
95.30%	0.00%	1	bf	{C So } that is where Davis Iron Works is
95.30%	0.00%	1	ba	Wow  that's -
95.31%	0.00%	1	b	-- yeah  {D you know } --
95.31%	0.00%	1	b^m	[ It's + it's ] great
95.31%	0.00%	1	ba	{F Oh } absolutely
95.31%	0.00%	1	br	<Laughter>  Hour and ten minutes?
95.31%	0.00%	1	b	Uh-huh  <child_crying>
95.32%	0.00%	1	br	Has a little V Six?
95.32%	0.00%	1	ba	I've heard of that one
95.32%	0.00%	1	b	Yeah {F uh } --
95.32%	0.00%	1	ba	<static> Boy
95.32%	0.00%	1	bf	Sounds like you have a real good garden
95.33%	0.00%	1	ba	Really!
95.33%	0.00%	1	b^m	About eight years
95.33%	0.00%	1	ba	{F Oh } {D well } that's neat that  you like cross-stitching also
95.33%	0.00%	1	b	Yeah </static>
95.34%	0.00%	1	b^m	the Eagles -- -
95.34%	0.00%	1	ba	{F Oh } yeah!
95.34%	0.00%	1	bh	Oh yeah
95.34%	0.00%	1	b	((   ))  <whispering>  Yeah
95.34%	0.00%	1	ba	<Laughter> That was a good  ((   ))  -
95.35%	0.00%	1	b^m	Frank E Peretti <whispering>
95.35%	0.00%	1	ba	I could see that
95.35%	0.00%	1	ba	I bet it is
95.35%	0.00%	1	br	{D Well } what were you saying?
95.35%	0.00%	1	bf	Downside  {F Um } {F uh } {D well }
95.36%	0.00%	1	bf	Hack it all over the place?
95.36%	0.00%	1	ba	{F Oh } how beautiful
95.36%	0.00%	1	bk	You did
95.36%	0.00%	1	ba	{D Well } that's pretty
95.36%	0.00%	1	br	Dr Price?
95.37%	0.00%	1	bf	{C and } you listen to the oldies
95.37%	0.00%	1	bf	[ {C So } he's
95.37%	0.00%	1	bf	{D Goodness } it must be a little bit cold
95.37%	0.00%	1	ba	That -
95.38%	0.00%	1	b^m	Privacy
95.38%	0.00%	1	ba	yes ma'am
95.38%	0.00%	1	ba	Th- [ co-
95.38%	0.00%	1	b^m	Three dogs
95.38%	0.00%	1	b^m	<Laughter> Fried chicken
95.39%	0.00%	1	b	<Thumping> Uh-huh
95.39%	0.00%	1	ba	{F Uh } you're sure have a nice town
95.39%	0.00%	1	bf	{D So } now -
95.39%	0.00%	1	ba	{C So } you're right
95.39%	0.00%	1	ba	I bet that's a interesting job
95.40%	0.00%	1	ba	That is  for sure
95.40%	0.00%	1	ba	{D See } I think that's wonderful
95.40%	0.00%	1	ba	I had never really thought of it that way
95.40%	0.00%	1	b^m	{C And } why didn't it work last time? <laughter>
95.40%	0.00%	1	ba	That's kind of different
95.41%	0.00%	1	br	{F Oh } Tom Grieve?
95.41%	0.00%	1	bd	{D Well } just keeping up with the times  that's all
95.41%	0.00%	1	b	<laughter> really   {F Oh }
95.41%	0.00%	1	ba	{F Oh } that would be enjoyable
95.42%	0.00%	1	b	Um okay
95.42%	0.00%	1	bf	kind of like a domino's effect
95.42%	0.00%	1	ba	{F Huh }  That is interesting though
95.42%	0.00%	1	bf	Quite a difference
95.42%	0.00%	1	ba	Four!
95.43%	0.00%	1	br	Purple Buddy?
95.43%	0.00%	1	b	{D Well } <laughter> -
95.43%	0.00%	1	ba	((Interesting))
95.43%	0.00%	1	b^m	With children
95.43%	0.00%	1	bf	They space it out [ in + in ] the line itself
95.44%	0.00%	1	bh	How    about that
95.44%	0.00%	1	b	uh-huh  --
95.44%	0.00%	1	ba	[ That's + of course that is ] certainly true
95.44%	0.00%	1	bf	{C and so } it's like they charge you for  the deposit
95.44%	0.00%	1	br	You do?
95.45%	0.00%	1	b^m	Beets
95.45%	0.00%	1	ba	of dang -
95.45%	0.00%	1	bf	-- earlier things
95.45%	0.00%	1	br	Ninety-eight?
95.46%	0.00%	1	ba	(( I'll bet ))
95.46%	0.00%	1	bf	You need very minimum four and probably five
95.46%	0.00%	1	bf	Eerie feeling
95.46%	0.00%	1	bf	Doesn't want to change
95.46%	0.00%	1	br	What do you mean?
95.47%	0.00%	1	ba	{D Well } [ that + that's ] not really good
95.47%	0.00%	1	ba	Much stronger
95.47%	0.00%	1	bf	Especially not a federal prison
95.47%	0.00%	1	b^m	-- Birmingham
95.47%	0.00%	1	bf	{C And so }  you'd have to -
95.48%	0.00%	1	ba	{D Well } they are really funny fish
95.48%	0.00%	1	bf	Hundred car is going sixty-two
95.48%	0.00%	1	b	{D Well
95.48%	0.00%	1	ba	Doing it <talking> -
95.48%	0.00%	1	bh	It has?
95.49%	0.00%	1	b	{F Um } uh-huh <laughter>
95.49%	0.00%	1	ba	{F Oh } God it sounds like I would
95.49%	0.00%	1	ba	{F Uh } strange
95.49%	0.00%	1	bf	If people will pay two hundred then why charge  ten
95.50%	0.00%	1	bf	{C So } you eat all your meals out
95.50%	0.00%	1	bf	{C And } your daughter is going to be a sophomore
95.50%	0.00%	1	b	you're reading DUNE
95.50%	0.00%	1	bh	Is it real?
95.50%	0.00%	1	b	Right <noise> <child_talking>
95.51%	0.00%	1	ba	God that's cheap
95.51%	0.00%	1	b	accessories
95.51%	0.00%	1	bd	{F Oh }  that's silly
95.51%	0.00%	1	b^m	{F Oh } four
95.51%	0.00%	1	b	{C So }  Yeah
95.52%	0.00%	1	ba	{C And } they are great
95.52%	0.00%	1	ba	Understand
95.52%	0.00%	1	b	Yea-
95.52%	0.00%	1	bf	{C So } hot dogs baseball and apple pie  {F Huh }
95.52%	0.00%	1	bf	{F Oh } {C and } you just don't have any yet
95.53%	0.00%	1	ba	I understand what you're saying
95.53%	0.00%	1	bf	{F Oh } {C so } you're close to the subject
95.53%	0.00%	1	ba	{D Well } that's a tough -
95.53%	0.00%	1	bf	{C So } it was you and the kid
95.54%	0.00%	1	b^m	{F Huh } illegal
95.54%	0.00%	1	br	THE NEVER ENDING STORY?
95.54%	0.00%	1	bf	Rather than work with it
95.54%	0.00%	1	ba	{F Oh } that's amazing
95.54%	0.00%	1	ba	{F Oh } [ that sounds
95.55%	0.00%	1	br	{D So } he didn't go howl?
95.55%	0.00%	1	bk	Okay <cough>
95.55%	0.00%	1	ba	{D Well } that's efficient
95.55%	0.00%	1	bf	Nothing like that
95.55%	0.00%	1	b	Uh-huh <<Music in background>>
95.56%	0.00%	1	ba	Oh no!
95.56%	0.00%	1	b	I  -
95.56%	0.00%	1	ba	I agree with that
95.56%	0.00%	1	b	-- yes
95.56%	0.00%	1	b^m	<Laughter> Antibeach
95.57%	0.00%	1	ba	[ that's + that's ] for sure
95.57%	0.00%	1	ba	{C But } {F uh } that's great
95.57%	0.00%	1	ba	Sure  {D you know }
95.57%	0.00%	1	bf	<Throat_clearing>  {F Oh } you mean  lowest end of living in spite of [ lower +  higher ] taxes
95.58%	0.00%	1	bh	<Smack> Are you really?
95.58%	0.00%	1	bd	it's no big deal
95.58%	0.00%	1	ba	we know how that goes
95.58%	0.00%	1	ba	{F Oh } boy that's hard sewing
95.58%	0.00%	1	bh	Is that incredible?
95.59%	0.00%	1	b	{F Oh } is that right
95.59%	0.00%	1	bh	Are you? <laughter>
95.59%	0.00%	1	ba	[ It
95.59%	0.00%	1	bf	Chris Xeros <laughter>
95.59%	0.00%	1	b^m	{F Oh } you've never been camping
95.60%	0.00%	1	ba	{F Uh } that's a bad one
95.60%	0.00%	1	ba	{D Well } that's a good idea
95.60%	0.00%	1	ba	Great <laughter>
95.60%	0.00%	1	bf	{D well } anyways  you guys only get a penny a can
95.60%	0.00%	1	bf	It sort of takes the justice out of the justice system
95.61%	0.00%	1	bh	Can you really?
95.61%	0.00%	1	ba	{D Well } that's interesting music boxes
95.61%	0.00%	1	ba	{F Oh } Mother Macree
95.61%	0.00%	1	ba	{F Huh } interesting
95.62%	0.00%	1	bf	{C So } you have all the conveniences of
95.62%	0.00%	1	bf	Delivery room and everything
95.62%	0.00%	1	br	Eighty eighty-eight is what you said?
95.62%	0.00%	1	bf	there's less character development [ rather +  just [ [ the +  the ] +   the ] funniness of the gag
95.62%	0.00%	1	br	Invisible what?
95.63%	0.00%	1	bf	Sounds like you you need at least like a Taurus size
95.63%	0.00%	1	bf	{C So } you travel a lot
95.63%	0.00%	1	ba	That's right yeah
95.63%	0.00%	1	b	{F Uh }  Uh-huh
95.63%	0.00%	1	bf	{F Oh } you had to prime it [ and + -
95.64%	0.00%	1	ba	((Guess so))
95.64%	0.00%	1	b	{F Oh }  (( yeah  ))
95.64%	0.00%	1	b^m	Twenty-seven
95.64%	0.00%	1	bf	[ {D So } +  {D so } ] you would favor a law which said there could not be lobbyists
95.64%	0.00%	1	ba	That's a very long day for  kindergartners
95.65%	0.00%	1	b^m	Every one
95.65%	0.00%	1	b^m	Schnauzers
95.65%	0.00%	1	b	<Laughter> Well --  -
95.65%	0.00%	1	ba	I'd think so
95.66%	0.00%	1	bf	We talking  ((   )) [ from + from ] dents in the holes
95.66%	0.00%	1	ba	{D Well } that's good to know
95.66%	0.00%	1	b^m	that one
95.66%	0.00%	1	ba	That is odd
95.66%	0.00%	1	br	[ You + you ] what?
95.67%	0.00%	1	b^m	right
95.67%	0.00%	1	ba	That's so true
95.67%	0.00%	1	b	))   ((   ))
95.67%	0.00%	1	b^m	now blacks --
95.67%	0.00%	1	br	Do I have kids?
95.68%	0.00%	1	br	You mean your history in regards to {F uh } -
95.68%	0.00%	1	bf	You mean somebody that has an actual establishment
95.68%	0.00%	1	ba	[ I + I ] know -
95.68%	0.00%	1	ba	[ That's + that's ] really something
95.68%	0.00%	1	ba	I didn't realize that
95.69%	0.00%	1	ba	Oh that's neat
95.69%	0.00%	1	ba	{F Ooh } yes <laughter>
95.69%	0.00%	1	br	Beg pardon?
95.69%	0.00%	1	b	Probably find someone -
95.70%	0.00%	1	ba	{D Well } it sounds good {D you know }
95.70%	0.00%	1	ba	{F Oh } wow!  <Laughter>
95.70%	0.00%	1	b^m	Same thing
95.70%	0.00%	1	ba	<talking> I bet
95.70%	0.00%	1	ba	{D Well } how fun
95.71%	0.00%	1	ba	Hey that sounds great
95.71%	0.00%	1	bf	{F Oh } [ they didn't say + they didn't say  ] what though
95.71%	0.00%	1	b	right  <laughter>
95.71%	0.00%	1	ba	surprise surprise
95.71%	0.00%	1	b^m	How much that bothers you
95.72%	0.00%	1	ba	Probably not
95.72%	0.00%	1	ba	[ That's a + that's a ] good idea
95.72%	0.00%	1	ba	Really wow
95.72%	0.00%	1	ba	{D Well } that sounds like a pretty good project
95.73%	0.00%	1	bf	So it doesn't  (( get ))   {F uh } {F uh } the credit {F uh }
95.73%	0.00%	1	bf	{C So } you feel like  your values aren't getting -
95.73%	0.00%	1	ba	{C but }  I know what you're saying {F uh }
95.73%	0.00%	1	b^m	Mexican
95.73%	0.00%	1	br	Uh?
95.74%	0.00%	1	bf	That one person -
95.74%	0.00%	1	bf	{F Oh } {D well } that's quite a change from California to Utah
95.74%	0.00%	1	bh	Is that right?  <Laughter>
95.74%	0.00%	1	b^m	Please come back to work
95.74%	0.00%	1	b	They're not a hard  ((   ))
95.75%	0.00%	1	ba	it's not good <laughter>
95.75%	0.00%	1	ba	I hear you there
95.75%	0.00%	1	bf	{F Oh } [ it d- + it didn't
95.75%	0.00%	1	ba	that's the thing to do
95.75%	0.00%	1	ba	{D Well } [ that's + that ] sounds interesting
95.76%	0.00%	1	b	Uh-huh <<very faint>> {F Uh }
95.76%	0.00%	1	b^m	Blacksburg
95.76%	0.00%	1	b	{F uh } yes
95.76%	0.00%	1	b^m	Four boys
95.77%	0.00%	1	bf	it [ i- + ] gets to balancing {F uh }  personal freedom against {F uh } the general welfare -
95.77%	0.00%	1	bf	{F Um }  You had real world experience in the middle there
95.77%	0.00%	1	b^m	Ten years
